title,year,certificate,duration,genre,rating,description,stars,votes,country,show_id,type
SPF-18,(2017),PG-13,75 min,"Drama, Romance, Sport",3.2,"18-year-old Penny Cooper spent years pining for Johnny Sanders Jr., but when a mysterious musician shows up on the beach, Penny is torn.","['Alex Israel', '| ', '    Stars:', 'Carson Meyer, ', 'Noah Centineo, ', 'Bianca A. Santos, ', 'Jackson White']","5,270",United States,s5199,Movie
Code Lyoko,(2003–2007),TV-Y7,26 min,"Animation, Action, Adventure",7.3,"When a group of four boarding school students discover a supercomputer housed inside an abandoned factory, they find a virtual world called Lyoko and awaken a sentient multi-agent system virus that tries to take over the real world.","['Sharon Mann, ', 'Mirabelle Kirkland, ', 'Matthew Géczy, ', 'Barbara Scaff']","5,245","France, Belgium",s513,TV Show
Unicorn Store,(2017),TV-PG,92 min,"Comedy, Drama, Fantasy",5.6,"Kit, a twenty-something dreamer, receives an invitation that would fulfill her childhood dreams.","['Brie Larson', '| ', '    Stars:', 'Brie Larson, ', 'Samuel L. Jackson, ', 'Joan Cusack, ', 'Bradley Whitford']","19,572",United States,s3946,Movie
XX,(2017),R,80 min,Horror,4.6,Four short horror films that are directed and written by women.,"['Roxanne Benjamin, ', 'Sofìa Carrillo, ', 'Karyn Kusama, ', 'St. Vincent, ', 'Jovanka Vuckovic', '| ', '    Stars:', 'Natalie Brown, ', 'Jonathan Watton, ', 'Peter DaCunha, ', 'Peyton Kennedy']","11,864","Canada, United States",s8766,Movie
The Prince,(I) (2014),R,93 min,"Action, Thriller",4.6,"When his daughter is kidnapped, a retired assassin is drawn back into the life he gave up. To rescue her, he must confront his former rival.","['Brian A. Miller', '| ', '    Stars:', 'Jason Patric, ', 'Bruce Willis, ', 'John Cusack, ', 'Jessica Lowndes']","18,577","United States, United Kingdom",s8465,Movie
Do Do Sol Sol La La Sol,(2020),TV-14,60 min,"Comedy, Drama, Music",7.3,"A riches-to-rags pianist who loses everything but her smile is guided by twinkling little stars to a small town where she finds hope, home and love.","['Go Ara, ', 'Jae-Wook Lee, ', 'Kim Joo-hun, ', 'Eun-soo Shin']","1,656",South Korea,s1876,TV Show
Ghost Stories,(2020),TV-MA,144 min,"Horror, Thriller",4.4,"The winning team of ""Lust Stories"" reunites to tell some spine-chilling tales. ""Ghost Stories"" is an upcoming 2020 Indian anthology horror film consisting of four short film segments.","['Zoya Akhtar, ', 'Dibakar Banerjee, ', 'Karan Johar, ', 'Anurag Kashyap', '| ', '    Stars:', 'Janhvi Kapoor, ', 'Surekha Sikri, ', 'Amruta Subhash, ', 'Vijay Varma']","5,339",India,s3061,Movie
Unstoppable,(2020– ),TV-MA,43 min,"Comedy, Drama",7.2,Four girlfriends on a weekend road trip end up on a journey of self-discovery.,"['Tessa Ia, ', 'Bárbara López, ', 'Lucía Uribe, ', 'Coty Camacho']",969,Mexico,s2873,TV Show
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,(2018 TV Special),TV-14,74 min,Comedy,7.1,"Comedians and writers Steve Martin and Martin Short perform a live comedy set with music by The Steep Canyon Rangers and jazz pianist, Jeff Babko, at the Peace Center in Greenville, South Carolina.","['Marcus Raboy', '| ', '    Stars:', 'Steve Martin, ', 'Martin Short, ', 'The Steep Canyon Rangers, ', 'Mike Ashworth']","2,741",United States,s4852,Movie
1983,(2018),TV-MA,60 min,"Crime, Drama, Thriller",6.7,"Decades after a 1983 terrorist attack, a law student and a cop uncover a conspiracy that's kept Poland as a police state and the Iron Curtain standing.","['Robert Wieckiewicz, ', 'Maciej Musial, ', 'Michalina Olszanska, ', 'Andrzej Chyra']","4,208","Poland, United States",s4351,TV Show
